param,covariate,weighted.max.abs.growthrate.0.to.180.GS
coef,phenotype,-0.003287009518801502
coef,body_weight,-0.00112777064047564
coef,AL,
coef,1D,0.006059121735416469
coef,2D,-0.008119825288648484
coef,20,-0.11511648533134033
coef,40,-0.2721259463754926
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.041365863183880934
se(coef),body_weight,0.004844009587308084
se(coef),AL,
se(coef),1D,0.11131400732141943
se(coef),2D,0.10960050341147777
se(coef),20,0.10750791871588875
se(coef),40,0.10667050768039488
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.9366652460100885
p,body_weight,0.8159030529815101
p,AL,
p,1D,0.9565904282846622
p,2D,0.9409422280540051
p,20,0.2842718919502458
p,40,0.010738693493523308
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
