param,covariate,resilience.mean.EC.0.to.180
coef,phenotype,
coef,body_weight,
coef,AL,
coef,1D,0.06558324274667131
coef,2D,0.00885988098248261
coef,20,-0.08777573001231948
coef,40,-0.2928817768889565
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,
se(coef),body_weight,
se(coef),AL,
se(coef),1D,0.07450400730740218
se(coef),2D,0.07194929239671086
se(coef),20,0.07018516711248025
se(coef),40,0.07095848272162439
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,
p,body_weight,
p,AL,
p,1D,0.3787159664488964
p,2D,0.9019957403342553
p,20,0.21106921683199095
p,40,3.6671406493748216e-05
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
