param,covariate,weighted.pre.state.transitions.DS.DS
coef,phenotype,0.002932150870463317
coef,body_weight,-0.0011078260590364098
coef,AL,
coef,1D,0.05515906506672873
coef,2D,0.001778395428342248
coef,20,-0.15945995839046043
coef,40,-0.4178329722735551
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.0060202795331184425
se(coef),body_weight,0.004837326174388934
se(coef),AL,
se(coef),1D,0.10781188935571785
se(coef),2D,0.10648710503752158
se(coef),20,0.10246635290824736
se(coef),40,0.10192334800917056
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.6262259912124355
p,body_weight,0.8188563248663012
p,AL,
p,1D,0.6089147372812731
p,2D,0.9866754918572597
p,20,0.11965631912935462
p,40,4.140751391893967e-05
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
