param,covariate,weighted.pre.max.abs.growthrate.GS
coef,phenotype,-0.009109465871087609
coef,body_weight,-0.0038403786559401865
coef,AL,
coef,1D,-0.051329766139763
coef,2D,-0.05847600401739764
coef,20,-0.2854166779311489
coef,40,-0.4558798753506704
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.0730177549859363
se(coef),body_weight,0.008988359218752573
se(coef),AL,
se(coef),1D,0.17648438865072183
se(coef),2D,0.17612800040773435
se(coef),20,0.1679543042050353
se(coef),40,0.1719139354738215
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.9007160408361662
p,body_weight,0.6691889675566177
p,AL,
p,1D,0.771169155986053
p,2D,0.7398827943783073
p,20,0.08924929799830314
p,40,0.008006601862304816
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
