param,covariate,weighted.state.transitions.0.to.180.DS.SS
coef,phenotype,0.0026833371926288704
coef,body_weight,-0.0038658286741337883
coef,AL,
coef,1D,0.12467546613656394
coef,2D,0.36253514476803017
coef,20,0.22381082990187992
coef,40,-0.2765241674598913
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.005868099219386587
se(coef),body_weight,0.008627090682604966
se(coef),AL,
se(coef),1D,0.18035587470980632
se(coef),2D,0.17342502616109187
se(coef),20,0.15902666994989506
se(coef),40,0.16096857110973334
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.6474731366732417
p,body_weight,0.6540785737792154
p,AL,
p,1D,0.4893928827962165
p,2D,0.036578017006526006
p,20,0.15931497118589882
p,40,0.08581909656009705
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
