param,covariate,weighted.pre.max.abs.growthrate.SS
coef,phenotype,-1.0254307733497825
coef,body_weight,-0.04504710380168841
coef,AL,
coef,1D,-0.7678538684416839
coef,2D,-0.3852933633431945
coef,20,-0.8819020806640122
coef,40,0.4167491434962071
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.5205290790348172
se(coef),body_weight,0.02600788032510299
se(coef),AL,
se(coef),1D,0.36349520768763893
se(coef),2D,0.37312322756296956
se(coef),20,0.35731320057361254
se(coef),40,0.40330512233633525
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.04884090534900633
p,body_weight,0.08326360157618441
p,AL,
p,1D,0.03465060094021461
p,2D,0.3017832001373418
p,20,0.013581392077798167
p,40,0.30144733334634527
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
