param,covariate,weighted.pre.state.transitions.GS.DS
coef,phenotype,-0.0007871065270535952
coef,body_weight,-0.00384610286873582
coef,AL,
coef,1D,0.0071126346761474606
coef,2D,0.037282032652175265
coef,20,-0.21679602503613463
coef,40,-0.38830631281769695
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.003961240748492734
se(coef),body_weight,0.008970913448305244
se(coef),AL,
se(coef),1D,0.17718459178508286
se(coef),2D,0.1768700097133367
se(coef),20,0.1685809338888176
se(coef),40,0.1724238858377103
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.8424958460489858
p,body_weight,0.6681194705424724
p,AL,
p,1D,0.967979509090291
p,2D,0.8330528923033952
p,20,0.19844110729395228
p,40,0.02431944204204291
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
