param,covariate,resilience.mean.HO.0.to.180
coef,phenotype,
coef,body_weight,
coef,AL,
coef,1D,-0.191215814094009
coef,2D,-0.11703793984527362
coef,20,-0.41317357340830596
coef,40,-0.7300953714410544
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,
se(coef),body_weight,
se(coef),AL,
se(coef),1D,0.20955900895683466
se(coef),2D,0.20432717320070395
se(coef),20,0.1979925008278786
se(coef),40,0.20467527825111329
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,
p,body_weight,
p,AL,
p,1D,0.3615225974673134
p,2D,0.5667823228615101
p,20,0.03690492792457584
p,40,0.0003609659631097866
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
