param,covariate,resilience.mean.CB.0.to.180
coef,phenotype,
coef,body_weight,
coef,AL,
coef,1D,-0.14700534652287187
coef,2D,-0.07431504560174941
coef,20,-0.3772745848322183
coef,40,-0.7462026247732413
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,
se(coef),body_weight,
se(coef),AL,
se(coef),1D,0.21978809012718573
se(coef),2D,0.21997151666213738
se(coef),20,0.21151952678749864
se(coef),40,0.2376988295989008
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,
p,body_weight,
p,AL,
p,1D,0.5035909286477795
p,2D,0.7354842154706182
p,20,0.07448226137549552
p,40,0.0016936488781621433
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
