param,covariate,resilience.mean.FR.0.to.180
coef,phenotype,
coef,body_weight,
coef,AL,
coef,1D,0.017542005120731768
coef,2D,0.010957198856416567
coef,20,-0.007617268857197332
coef,40,-0.04667932953221955
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,
se(coef),body_weight,
se(coef),AL,
se(coef),1D,0.024105819138169744
se(coef),2D,0.023319022227438743
se(coef),20,0.023479913202042704
se(coef),40,0.0232027850503382
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,
p,body_weight,
p,AL,
p,1D,0.46679215686570796
p,2D,0.6384390170225493
p,20,0.7456228069960087
p,40,0.04424117590561833
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
