param,covariate,resilience.mean.ME.0.to.180
coef,phenotype,
coef,body_weight,
coef,AL,
coef,1D,0.02121793884380538
coef,2D,0.006173921323800387
coef,20,-0.007656223359107218
coef,40,-0.041012361374711745
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,
se(coef),body_weight,
se(coef),AL,
se(coef),1D,0.025566769392935396
se(coef),2D,0.02679640385123507
se(coef),20,0.023869761560118503
se(coef),40,0.022459593168505577
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,
p,body_weight,
p,AL,
p,1D,0.406593623632703
p,2D,0.8177800948584926
p,20,0.7483999375353216
p,40,0.06784258805602479
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
