param,covariate,weighted.pre.state.transitions.SS.DS
coef,phenotype,-0.0023398260525838706
coef,body_weight,-0.004089847033374882
coef,AL,
coef,1D,0.036951034549186815
coef,2D,0.10314341007048908
coef,20,-0.1946485099682623
coef,40,-0.3955778967184351
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.008794869392399313
se(coef),body_weight,0.008988857332933664
se(coef),AL,
se(coef),1D,0.17748171196601883
se(coef),2D,0.17739418055946585
se(coef),20,0.1686310969026335
se(coef),40,0.1722185012954009
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.79020498809751
p,body_weight,0.6491158860164907
p,AL,
p,1D,0.8350757027458546
p,2D,0.5609464608213655
p,20,0.24838294485796467
p,40,0.02162142006623614
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
