param,covariate,pre.start.time.longest.bout.DS
coef,phenotype,-0.0002244148679725959
coef,body_weight,-0.001121969493474644
coef,AL,
coef,1D,0.08518064076936932
coef,2D,-0.021165648206770696
coef,20,-0.16986757115898155
coef,40,-0.499353876412728
coef,bwxAL,
coef,bwx1D,
coef,bwx2D,
coef,bwx20,
coef,bwx40,
se(coef),phenotype,0.001997753103704218
se(coef),body_weight,0.006075925926113513
se(coef),AL,
se(coef),1D,0.11080538274872007
se(coef),2D,0.10870196296922079
se(coef),20,0.10521907000133089
se(coef),40,0.1040123089662065
se(coef),bwxAL,
se(coef),bwx1D,
se(coef),bwx2D,
se(coef),bwx20,
se(coef),bwx40,
p,phenotype,0.9105588736982904
p,body_weight,0.8534971404550022
p,AL,
p,1D,0.4420470800361649
p,2D,0.8456179014423878
p,20,0.10643676814318333
p,40,1.5794516812742727e-06
p,bwxAL,
p,bwx1D,
p,bwx2D,
p,bwx20,
p,bwx40,
